Artist,Artist AVG Release,Playlist Link,Playlist Description,Playlists Likes,Playlist AVG Release Time,Artist Inside,Artists Spotify Link,AVG Release Time Artist,Monthly Listeners,Career Started,Time Since Latest Release,Number of Tracks,AVG Release Time Per Track Artist,Instagram Link,Instagram Subscribers,Popularity Index,Artist Link,Average Likes,Average Comments,Average Release Time IG,Artist Link,Average Likes,Average Comments,Average Release Time IG
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Nevilton,https://open.spotify.com/artist/070r60ijuqN9KisFCwV6uM,805.857142857143,5600,4906,70.447410675706,64,76,https://instagram.com/nevilton/,10000,16,https://open.spotify.com/artist/070r60ijuqN9KisFCwV6uM,1008.4181818181818,4.0,2.0,https://open.spotify.com/artist/79qRD2IfSr3pmuYUficMWX,,,0.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,LOVNIS,https://open.spotify.com/artist/5jcLfRTdUfq5MbCDQHJNfH,138.25,51,1054,501.447431337222,5,210,https://instagram.com/lovnis.duo,-1,0,https://open.spotify.com/artist/5jcLfRTdUfq5MbCDQHJNfH,,,0.0,https://open.spotify.com/artist/6biUHeemP2RGExRI8ZUDa6,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Chá de Gim,https://open.spotify.com/artist/6D29o6apKFtpaXa2kT5VFN,898.666666666667,11700,2904,158.447443147107,14,207,No Instagram,-1,14,https://open.spotify.com/artist/6D29o6apKFtpaXa2kT5VFN,-1.0,-1.0,-1.0,https://open.spotify.com/artist/6Ow8jRxNKuhXlfGOOeP7ly,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Os Incríveis,https://open.spotify.com/artist/28OXKV4Lc2sbW9eMhwgH1P,2902,123200,21382,543.447454180208,209,102,No Instagram,-1,34,https://open.spotify.com/artist/28OXKV4Lc2sbW9eMhwgH1P,-1.0,-1.0,-1.0,https://open.spotify.com/artist/1c1um4ivH5WbdAtg1y6IFe,104.52941176470588,3.333333333333333,5.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Nicholas Mariano,https://open.spotify.com/artist/21SNshIURoFZEUnsPt9JyB,Error,297,Error,Error,Error,Error,No Instagram,-1,1,https://open.spotify.com/artist/21SNshIURoFZEUnsPt9JyB,-1.0,-1.0,-1.0,https://open.spotify.com/artist/2VQ0jNisT4VhPs41VGvvTX,799.2,10.928571428571429,6.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Roberto Carlos,https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65,332.180327868853,5300000,22017,1754.4474784747,858,25,https://instagram.com/robertocarlosoficial/,2000000,67,https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65,153731.66666666666,340.90909090909093,0.0,https://open.spotify.com/artist/5UiKi49d0fbeffWl4aPWNW,190.93103448275863,5.0,9.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Ronnie Von,https://open.spotify.com/artist/6inPmyLhCY3aWR9pVEfVQ8,3238.55555555556,73200,20720,36.4475006756713,183,113,No Instagram,-1,29,https://open.spotify.com/artist/6inPmyLhCY3aWR9pVEfVQ8,-1.0,-1.0,-1.0,https://open.spotify.com/artist/7i1WiSQVIHt4bZz8DhuylF,1344.9545454545455,10.153846153846152,2.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Erasmo Carlos,https://open.spotify.com/artist/6cHQUDAPGKRE2NbVjBlOcz,853.44,970600,21382,46.4475177113889,533,40,No Instagram,-1,49,https://open.spotify.com/artist/6cHQUDAPGKRE2NbVjBlOcz,-1.0,-1.0,-1.0,https://open.spotify.com/artist/1Vg6tBVHxyudUVzA9YTMgi,173.2,2.5454545454545454,6.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Deny e Dino,https://open.spotify.com/artist/4JA5cUX8yLsgit0CO3jbLt,6268,23200,20573,6407.44752575876,64,321,No Instagram,-1,22,https://open.spotify.com/artist/4JA5cUX8yLsgit0CO3jbLt,-1.0,-1.0,-1.0,https://open.spotify.com/artist/3NVYayUUcvkJM2803BUbnS,,,0.0
LOVNIS,138.25,https://open.spotify.com/playlist/3E1X4LbQABYdHpNDADweiB,,22,2331.75388323481,Renato e Seus Blue Caps,https://open.spotify.com/artist/27hFv7JqcDVyqgaCvLHpy7,1468.66666666667,107300,18566,942.447537934445,457,40,No Instagram,-1,37,https://open.spotify.com/artist/27hFv7JqcDVyqgaCvLHpy7,-1.0,-1.0,-1.0,https://open.spotify.com/artist/53EHeXzGs4HheTCTnwfPEr,-1.0,-1.0,-1.0
