Artist in main Playlist,Playlist,Artist Found,Artist Link,Monthly Listeners,IG,On Tour
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,e Randy,https://open.spotify.com/artist/0fk5Etx4aZOTllswxvznDk,91.0,https://instagram.com/ctrlerandy/,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,ENLEO,https://open.spotify.com/artist/09trukw4HlMz8i6TAn5Xpu,195000.0,https://instagram.com/enleomusic,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,STORBAN,https://open.spotify.com/artist/69eZ0pt71hHsPD6NxaXCUd,7.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,KNOCK OUT MONKEY,https://open.spotify.com/artist/5Kmgbag5URQXVqUUtvXe1S,15700.0,https://instagram.com/kom_official1002/,True
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,kanves,https://open.spotify.com/artist/6xICg0uHM8M1I8AXgZcDBy,106200.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,London Lighthouse,https://open.spotify.com/artist/7lwpTjhIayZY8VCuUJHZKt,132500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Ritsou Lalai,https://open.spotify.com/artist/5aO7hHRToXlsRMfZ3Ah6aa,42600.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,bird,https://open.spotify.com/artist/4UYTq2L0l4zfsUKe8BqeNs,12400.0,https://instagram.com/birdbeats_,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Korey Wade,https://open.spotify.com/artist/5EMhnsc8XoFAR7Cpb8TjPv,154100.0,https://instagram.com/koreywade,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Lobster Gibbs,https://open.spotify.com/artist/20XMB0R8aPkMY2tyzMFbOD,16100.000000000002,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Sunsplash,https://open.spotify.com/artist/56LTeMVDItLpwZPI2UCKCr,38000.0,https://instagram.com/sunsplashmusic,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,!nvite,https://open.spotify.com/artist/6KJtK1U4TEYXQgg65JYAJI,50600.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Woozy Youngster,https://open.spotify.com/artist/2gbULTKiTcbVhrVXKJ1tCV,28200.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,imeou,https://open.spotify.com/artist/6gQZaq3bhFr819MDPbmEso,0.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Melatone,https://open.spotify.com/artist/18xuTjIXDD1Wi4wGgPmapr,119200.0,https://instagram.com/melatonemelatone,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Simber,https://open.spotify.com/artist/3x9DqcRsBAPD6oFZCnDxf0,194700.0,https://instagram.com/iamsimber,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Crate Diggers,https://open.spotify.com/artist/0WOGvsLAjAft28z7O3QHQ8,127100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Harry Hawaii,https://open.spotify.com/artist/7fQVHvcP2LSpPU3pNU7wKA,164600.0,https://instagram.com/harry_hawaii/,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Sakloma24,https://open.spotify.com/artist/6PkzYxQ7Bae6IJyyhkPhmf,73500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Venti,https://open.spotify.com/artist/1g1rRWEsI2Wy2xVALwaeaL,102800.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Dean Bowser,https://open.spotify.com/artist/2ykj8pxgT6Xyzc1gxMSe90,102100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,tawnbei,https://open.spotify.com/artist/2Np0o8All4XesC4ZMGufqI,51600.0,https://instagram.com/tawnbei_,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,MAGICMINT,https://open.spotify.com/artist/7j9F86nfXHaXafSysyXi2w,97700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Steefann,https://open.spotify.com/artist/6bQY0OdvrUz4BUlajKcLfF,37000.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Gregory David,https://open.spotify.com/artist/3y4uq4TWyejft9xWsofxTp,68400.0,https://instagram.com/gregory_david_gtr,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Chillide,https://open.spotify.com/artist/6k0mhNZbwZiBIXcihGHwn9,37600.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Estelas,https://open.spotify.com/artist/2fVSVXAO5UftuzBca9SZQ6,61100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Savage Bops,https://open.spotify.com/artist/3D54UHQi6RvooCNsIP0E27,19400.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,bby knife,https://open.spotify.com/artist/3Tub4hRLiyd2Heoati75O4,96400.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Brazil Beats,https://open.spotify.com/artist/6maweip3QZ4GI3eCLMebL1,18800.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Turn.,https://open.spotify.com/artist/0EWNopBCU1Smyzg0IhiKVV,12300.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Linn Blink,https://open.spotify.com/artist/5oV5bOkm37Icq1ia1XNh7H,19900.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Burrito Brown,https://open.spotify.com/artist/48kJefJWRoWhRyoZ6GWwlc,78800.0,https://instagram.com/burritobrown666/,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Left spectrum of the brain,https://open.spotify.com/artist/2V4bATfnJA7PSFW11WdN4S,45500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Carabide,https://open.spotify.com/artist/0wNoA8QqgWPT80bU8sVrJS,115100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Gabriel Cavalcanti,https://open.spotify.com/artist/2CLLtlHM5RuNUdDe7b7YwL,171900.0,https://instagram.com/gabrcavalcanti,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,xOHARA,https://open.spotify.com/artist/2Sebo5izi3H67nS858uHoK,196900.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,d'Addario,https://open.spotify.com/artist/4V0Cgq9L5jRSOTcDVZgABQ,107700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,JazzyHan,https://open.spotify.com/artist/1DSr1LDXAAmLgyWLEOeoIS,88200.0,https://instagram.com/jazzyhan_/,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Mokezi,https://open.spotify.com/artist/3H4BXDh1utWbNJp32pTqIg,23500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Slacker Boy,https://open.spotify.com/artist/4jII3hmI346hnrWtf7jx3A,34100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Rivizion,https://open.spotify.com/artist/1esGPYEd8HVgZnwtDicKoJ,198300.0,https://instagram.com/rivizionmusic,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Dasunny,https://open.spotify.com/artist/0GRMQfjpndi6Maj7lvYOza,114300.0,https://instagram.com/mikaellanden,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,93Alekk,https://open.spotify.com/artist/6e0UHI8nGl5Y5DtYPrdaHu,191200.0,https://instagram.com/93alekk,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Cyan_95,https://open.spotify.com/artist/2F0ArRuBoD4jl4bM8fNyiU,96500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,lowerkaze,https://open.spotify.com/artist/7HjuawVefxsnyB9JVrJQcA,65700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,ombinate,https://open.spotify.com/artist/6KuoBtG1drbXBIdkbloqEP,62000.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Wax A Dizk,https://open.spotify.com/artist/0oFTGAftcAfchCbIObOGjh,156900.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Jon Droulis,https://open.spotify.com/artist/1SmwmdWkvYoC7dw13cEIbs,9400.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Chilou,https://open.spotify.com/artist/2wTi41vTfbFFHdAAezSSF8,122800.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,asanatobi,https://open.spotify.com/artist/6LeJY3URhc2QOx8vPAB2Ou,124500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Satchel Kebab,https://open.spotify.com/artist/0Z4iAR7V9y9M3HEW8vTMxx,14000.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Multicolor Vowels,https://open.spotify.com/artist/7Ll3x4zA90V5UkSUf3EtDX,52400.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,XX Tape Queen,https://open.spotify.com/artist/6sQwe5kM1FYUJemXkQXTeA,9900.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,imeou,https://open.spotify.com/artist/2vllrQgjSlv6SFDmhio5un,0.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Pjuck,https://open.spotify.com/artist/4y7TV9mGqoi2fHB1RLhqZm,73400.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,London-Seoul,https://open.spotify.com/artist/7cAwv3SD3Jvt9LsnEfNR0b,10700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Illuzionary,https://open.spotify.com/artist/2o46d078sJRWBz2evc0WFx,148700.0,https://instagram.com/illuzionary_beats,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,imeou,https://open.spotify.com/artist/5I9DfXCEBU6PwpWqnySRYK,0.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Dot One,https://open.spotify.com/artist/5L0oApIYGNFApK98EL4dD8,33500.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Yankee Hart,https://open.spotify.com/artist/3QjEKf7OgPZayWOOt8AUBi,49600.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Kick a Dope Verse!,https://open.spotify.com/artist/1Wc42aAvPBQxi2CsAN2Q5z,64800.0,https://instagram.com/kickadopeverse,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Ouska,https://open.spotify.com/artist/1BhytEyR0LxnxXoeQPxGVV,177800.0,https://instagram.com/ouskasound/,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,spice rack,https://open.spotify.com/artist/4as7eq7Z4RegcT6FJ754Ub,25800.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,imeou,https://open.spotify.com/artist/0l5qxcD2fZRiXhbtJOkI5r,0.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Astairé,https://open.spotify.com/artist/2DWDXgHWqbRV6oQKFTlcvc,66000.0,https://instagram.com/astairemusic,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Miso Colt,https://open.spotify.com/artist/0bsWKSbs38UWgIjPBaz5x4,107000.0,https://instagram.com/misocolt,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,L33M,https://open.spotify.com/artist/1lABdQKhhzsm6tMHNqBKo9,11900.0,https://instagram.com/l33m_0/,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Lazy Leopard,https://open.spotify.com/artist/41IKlkMyLVlT0OAkxXQtw4,69600.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Teo,https://open.spotify.com/artist/5d7FgxqeULkBnt4j8cpPJk,147400.0,https://instagram.com/teo_lofi,True
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Joe Sunrise,https://open.spotify.com/artist/4mvWLbsizI6uxbelCP9LRy,144900.0,https://instagram.com/prodbyjoesunrise,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Hak Hyun Woo,https://open.spotify.com/artist/2ja1SYQlIW7YyAWB68lkCg,10700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,With All Respect,https://open.spotify.com/artist/1owj0RO3l3iK7vPwn4rV1O,24100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Teau,https://open.spotify.com/artist/6arVgorLsaKvsc3UfABGID,128400.0,https://instagram.com/teautribe,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Skeleton Panda,https://open.spotify.com/artist/0PuasH1K6rjltXwNAl06wQ,31100.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,The Man from Mexico,https://open.spotify.com/artist/7ig2AJW5U845K57IhLZvdb,6900.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Chapel Chill,https://open.spotify.com/artist/0p1wRvBAsXKq83OSFwFAvE,49200.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Hiest,https://open.spotify.com/artist/3UAJdhJ0DUbtawUmyYhMpv,9600.0,https://instagram.com/hiest__,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,dogphase,https://open.spotify.com/artist/2PhI5ndGzuBaGWTPadjj4g,18700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Roses,https://open.spotify.com/artist/3abdd92dF9ZxywaIBWKKcp,42000.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,imeou,https://open.spotify.com/artist/47OYz3d3DvnXpfaJ7i0z6b,0.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,imeou,https://open.spotify.com/artist/5dT9K9FBK9jwr7O3UvI3Dy,0.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Camden Clown,https://open.spotify.com/artist/56yn1U5TaMjH6ENhDdlWfM,73700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,ideal form,https://open.spotify.com/artist/2YhLgIJkYQpdzQqUoLE79a,16000.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Dino P,https://open.spotify.com/artist/1PDCXtWxAyrZXWQHLdgtha,176700.0,No Instagram,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Seb Zillner,https://open.spotify.com/artist/7JbVYHCk4gezX4sZTFW50x,170000.0,https://instagram.com/sebzillner,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Gera Dzhio,https://open.spotify.com/artist/5nAEC4dYPM5hpAbikljUel,7700.0,https://instagram.com/gera_dzhio,False
Move 78,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Webmoms,https://open.spotify.com/artist/2ol5Xy14VMiqF9KjzW41c4,170100.0,https://instagram.com/webmoms,False
